2026-06-16 13:48:12.779038 |  | 801596 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 14:21:56.162489 |  | 80169C | ALT:37000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 14:22:50.253472 |  | 86E4FC | ALT:38000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 14:23:05.917017 |  | 80164F | ALT:0 | SPD:473 | LAT:0.0 | LON:0.0
2026-06-16 14:24:51.172007 | CALLSIGN:JAL39 | 86E4FC
2026-06-16 14:34:33.654527 |  | 68000A | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 14:36:18.678043 | JAL39 | 86E4FC | ALT:39850 | SPD:471 | LAT:26.03801 | LON:83.950627
2026-06-16 14:36:18.678841 | CALLSIGN:JAL39 | 86E4FC
2026-06-16 14:36:18.679456 |  | 68000A | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 14:39:27.239239 |  | 70AFB9 | ALT:31175 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 14:39:32.351113 | CALLSIGN:RNA225 | 70AFB9
2026-06-16 14:43:18.591829 |  | 801454 | ALT:0 | SPD:416 | LAT:0.0 | LON:0.0
2026-06-16 14:45:50.721246 |  | 86EBFA | ALT:0 | SPD:483 | LAT:0.0 | LON:0.0
2026-06-16 14:46:06.319938 | CALLSIGN:ANA837 | 86EBFA
2026-06-16 14:51:54.792591 | IGO942C | 801460 | ALT:0 | SPD:384 | LAT:0.0 | LON:0.0
2026-06-16 14:51:54.793425 | CALLSIGN:IGO942C | 801460
2026-06-16 14:52:42.177008 |  | 801499 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 14:55:15.149355 | CALLSIGN:IGO301P | 801499
2026-06-16 15:00:40.488379 | IGO6560 | 80163D | ALT:36150 | SPD:450 | LAT:25.99058 | LON:84.404103
2026-06-16 15:00:40.489250 | CALLSIGN:IGO6560 | 80163D
2026-06-16 15:00:40.489794 | IGO2275 | 801822 | ALT:36000 | SPD:449 | LAT:25.650097 | LON:84.807302
2026-06-16 15:00:40.490422 | CALLSIGN:IGO2275 | 801822
2026-06-16 15:00:40.491003 |  | 801647 | ALT:12625 | SPD:389 | LAT:25.838791 | LON:84.232696
2026-06-16 15:00:50.892857 | CALLSIGN:IGO2453 | 801647
2026-06-16 15:06:55.831771 | IGO2275 | 801822 | ALT:35975 | SPD:442 | LAT:25.892075 | LON:83.990789
2026-06-16 15:06:55.832573 | CALLSIGN:IGO2275 | 801822
2026-06-16 15:06:55.833053 |  | 801647 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 15:11:28.405082 |  | 80061D | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 15:12:15.071539 |  | 801698 | ALT:38000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 17:23:56.193656 |  | 800D00 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 17:24:12.055404 | CALLSIGN:IGO6902 | 800D00
2026-06-16 19:45:56.255498 |  | ABE212 | ALT:30000 | SPD:502 | LAT:0.0 | LON:0.0
2026-06-16 19:45:58.155736 | CALLSIGN:GTI584 | ABE212
2026-06-16 19:47:31.483534 | RNA226 | 70AFB9 | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 19:47:31.484521 | CALLSIGN:RNA226 | 70AFB9
